Country			Year-Month	GSR	Prediction	Matched	Precision	Recall	Mean-Quality	Mean-Lead-Time	Mean-Probalility
Venezuela			Jun 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Argentina			Jun 2012	1	0	0	0.0	0.0	0.0	0.0	0.0
Brazil			Jul 2012	1	0	0	0.0	0.0	0.0	0.0	0.0
Chile			Jul 2012	1	0	0	0.0	0.0	0.0	0.0	0.0
Mexico			Jul 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Panama			Jul 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Costa Rica			Jul 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Peru			Jul 2012	1	4	1	0.25	1.0	2.33	1.0	0.81
Colombia			Jul 2012	0	3	0	0.0	0.0	0.0	0.0	0.94
Venezuela			Jul 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Argentina			Jul 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Brazil			Aug 2012	0	2	0	0.0	0.0	0.0	0.0	0.97
Chile			Aug 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Mexico			Aug 2012	0	2	0	0.0	0.0	0.0	0.0	0.94
Panama			Aug 2012	1	0	0	0.0	0.0	0.0	0.0	0.0
Costa Rica			Aug 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Peru			Aug 2012	0	8	0	0.0	0.0	0.0	0.0	0.93
Colombia			Aug 2012	0	1	0	0.0	0.0	0.0	0.0	0.93
Venezuela			Aug 2012	2	0	0	0.0	0.0	0.0	0.0	0.0
Argentina			Aug 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Brazil			Sep 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Chile			Sep 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Mexico			Sep 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Panama			Sep 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Costa Rica			Sep 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Peru			Sep 2012	1	3	1	0.33	1.0	2.43	5.0	0.75
Colombia			Sep 2012	0	2	0	0.0	0.0	0.0	0.0	0.93
Venezuela			Sep 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Argentina			Sep 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Brazil			Oct 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Chile			Oct 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Mexico			Oct 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Panama			Oct 2012	0	5	0	0.0	0.0	0.0	0.0	0.73
Costa Rica			Oct 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
Peru			Oct 2012	0	4	0	0.0	0.0	0.0	0.0	0.93
Colombia			Oct 2012	0	3	0	0.0	0.0	0.0	0.0	0.93
Venezuela			Oct 2012	0	3	0	0.0	0.0	0.0	0.0	0.95
Argentina			Oct 2012	0	0	0	0.0	0.0	0.0	0.0	0.0
