post_date	z30	z90
2011-05-10	0.94	0.86
2011-05-11	-0.94	-0.96
2011-05-12	-0.61	-0.66
2011-05-13	-0.22	-0.28
2011-05-16	0.59	0.45
2011-05-17	-0.88	-0.97
2011-05-18	2.51	2.09
2011-05-19	-0.01	-0.18
2011-05-20	0.38	0.21
2011-05-23	0.01	-0.17
2011-05-24	0.89	0.70
2011-05-25	0.67	0.51
2011-05-26	1.13	0.95
2011-05-27	0.46	0.35
2011-05-30	-0.46	-0.54
2011-05-31	0.87	0.77
2011-06-01	-1.36	-1.40
2011-06-02	0.14	0.10
2011-06-03	-0.97	-0.94
2011-06-06	-1.53	-1.47
2011-06-07	1.11	0.88
2011-06-08	0.18	0.05
2011-06-09	1.54	1.32
2011-06-10	-0.78	-0.88
2011-06-13	0.36	0.20
2011-06-14	1.83	1.71
2011-06-15	-0.44	-0.35
2011-06-16	-0.36	-0.25
2011-06-17	-0.77	-0.61
2011-06-20	0.36	0.40
2011-06-21	0.72	0.69
2011-06-22	0.55	0.51
2011-06-23	-0.30	-0.20
2011-06-24	0.07	0.15
2011-06-27	1.03	1.01
2011-06-28	2.38	2.24
2011-06-29	1.36	1.45
2011-06-30	-0.25	-0.04
2011-07-01	0.82	0.90
2011-07-04	-0.01	0.17
2011-07-05	-1.06	-0.77
2011-07-06	-0.86	-0.64
2011-07-07	0.33	0.45
2011-07-08	-0.45	-0.29
2011-07-11	-0.65	-0.51
2011-07-12	-0.82	-0.65
2011-07-13	0.26	0.32
2011-07-14	-0.50	-0.31
2011-07-15	-0.14	-0.01
2011-07-18	-1.79	-1.39
2011-07-19	-0.30	-0.08
2011-07-20	-1.98	-1.57
2011-07-21	0.85	0.85
2011-07-22	0.82	0.79
2011-07-25	-1.34	-1.04
2011-07-26	-0.66	-0.52
2011-07-27	1.19	0.99
2011-07-28	1.40	1.21
2011-07-29	0.25	0.31
2011-08-01	-1.34	-1.05
2011-08-02	-4.04	-3.61
2011-08-03	-1.10	-1.15
2011-08-04	-3.90	-4.22
2011-08-05	1.24	1.40
2011-08-08	-5.28	-6.60
2011-08-09	1.58	2.04
2011-08-10	-0.07	-0.28
2011-08-11	3.05	3.96
2011-08-12	-0.23	-0.46
2011-08-15	1.16	1.50
2011-08-16	0.25	0.22
2011-08-17	0.33	0.35
2011-08-18	-1.25	-1.93
2011-08-19	0.00	-0.16
2011-08-22	0.96	1.25
2011-08-23	1.95	2.76
2011-08-24	0.03	-0.01
2011-08-25	-1.08	-1.73
2011-08-26	0.33	0.39
2011-08-29	1.61	2.38
2011-08-30	0.23	0.35
2011-08-31	0.88	1.36
2011-09-01	-0.14	-0.16
2011-09-02	-0.75	-1.12
2011-09-05	-1.80	-2.79
2011-09-06	0.85	1.28
2011-09-07	1.06	1.65
2011-09-08	-0.61	-1.00
2011-09-09	-1.16	-1.92
2011-09-12	0.07	-0.01
2011-09-13	0.29	0.37
2011-09-14	1.01	1.55
2011-09-15	0.69	1.10
2011-09-19	-0.23	-0.22
2011-09-20	-1.09	-1.53
2011-09-21	-0.65	-0.64
2011-09-22	-2.72	-3.34
2011-09-23	0.29	0.47
2011-09-26	1.28	1.61
2011-09-27	0.60	0.80
2011-09-28	-0.52	-0.63
2011-09-29	0.40	0.51
2011-09-30	-0.26	-0.31
2011-10-03	-0.58	-0.66
2011-10-04	-0.26	-0.26
2011-10-05	0.09	0.12
2011-10-06	0.55	0.59
2011-10-07	-0.37	-0.48
2011-10-10	0.95	1.08
2011-10-11	0.25	0.29
2011-10-12	1.43	1.52
2011-10-13	0.23	0.22
2011-10-14	0.51	0.50
2011-10-17	-1.17	-1.35
2011-10-18	1.53	1.67
2011-10-19	-0.91	-0.90
2011-10-20	-0.23	-0.22
2011-10-21	1.16	1.17
2011-10-24	0.41	0.45
2011-10-25	-0.04	0.04
2011-10-26	0.89	0.96
2011-10-27	1.55	1.64
2011-10-28	-0.16	-0.06
2011-10-31	-1.09	-1.01
2011-11-01	-0.81	-0.76
2011-11-03	1.44	1.48
2011-11-04	0.04	0.19
2011-11-07	0.42	0.59
2011-11-08	0.39	0.57
2011-11-09	-2.10	-1.42
2011-11-10	-0.07	0.11
2011-11-11	1.80	1.64
2011-11-14	-1.26	-0.86
2011-11-15	0.21	0.37
2011-11-16	-1.48	-1.02
2011-11-17	-1.43	-1.02
2011-11-18	0.13	0.30
2011-11-22	-0.80	-0.53
2011-11-23	-1.33	-1.00
2011-11-24	-0.21	-0.07
2011-11-25	-1.52	-1.26
2011-11-28	1.85	1.67
2011-11-29	0.21	0.24
2011-11-30	1.95	1.85
2011-12-01	-0.61	-0.44
2011-12-02	0.24	0.29
2011-12-05	0.50	0.54
2011-12-06	-0.22	-0.08
2011-12-07	-0.16	-0.05
2011-12-08	-0.88	-0.69
2011-12-09	0.99	0.93
2011-12-13	-1.46	-1.28
2011-12-14	-0.83	-0.78
2011-12-15	0.03	-0.06
2011-12-16	0.10	0.04
2011-12-19	-0.89	-0.91
2011-12-20	1.32	1.09
2011-12-21	0.76	0.61
2011-12-22	0.85	0.73
2011-12-23	-0.03	-0.12
2011-12-26	0.31	0.26
2011-12-27	-0.28	-0.30
2011-12-28	-0.89	-0.87
2011-12-29	1.15	0.92
2011-12-30	-0.21	-0.28
2012-01-02	0.51	0.40
2012-01-03	0.02	0.04
2012-01-04	-0.07	-0.05
2012-01-05	-0.90	-0.77
2012-01-06	-0.59	-0.47
2012-01-09	-0.15	-0.07
2012-01-10	0.77	0.74
2012-01-11	0.16	0.19
2012-01-12	-0.10	-0.01
2012-01-13	-2.28	-1.54
2012-01-16	0.99	0.67
2012-01-17	-0.85	-0.68
2012-01-18	2.46	1.78
2012-01-19	0.39	0.28
2012-01-20	-0.77	-0.68
2012-01-23	-0.52	-0.46
2012-01-24	-0.86	-0.76
2012-01-25	0.92	0.68
2012-01-26	-0.03	0.01
2012-01-27	-0.26	-0.16
2012-01-30	0.05	0.05
2012-01-31	0.35	0.30
2012-02-01	0.73	0.51
2012-02-02	-0.10	-0.12
2012-02-03	1.09	0.75
2012-02-07	-0.20	-0.18
2012-02-08	0.15	0.06
2012-02-09	0.20	0.12
2012-02-10	-0.46	-0.33
2012-02-13	0.07	-0.00
2012-02-14	-1.34	-0.98
2012-02-15	0.05	-0.05
2012-02-16	1.06	0.68
2012-02-17	-1.02	-0.81
2012-02-20	1.11	0.76
2012-02-21	-1.53	-1.11
2012-02-22	0.05	0.04
2012-02-23	0.28	0.18
2012-02-24	-0.33	-0.27
2012-02-27	-0.56	-0.47
2012-02-28	0.67	0.49
2012-02-29	-0.85	-0.59
2012-03-01	0.63	0.43
2012-03-02	1.19	0.63
2012-03-05	-0.82	-0.50
2012-03-06	-2.99	-1.70
2012-03-07	0.20	0.10
2012-03-08	0.96	0.64
2012-03-09	-0.58	-0.34
2012-03-12	-0.46	-0.29
2012-03-13	1.66	1.03
2012-03-14	-0.28	-0.16
2012-03-15	0.55	0.38
2012-03-16	0.43	0.29
2012-03-20	-0.86	-0.55
2012-03-21	1.51	0.96
2012-03-22	-0.47	-0.34
2012-03-23	0.02	0.01
2012-03-26	2.01	1.41
2012-03-27	0.25	0.21
2012-03-28	-0.25	-0.19
2012-03-29	0.67	0.52
2012-03-30	1.31	1.02
2012-04-02	1.26	0.98
2012-04-03	-0.18	-0.10
2012-04-04	-2.19	-1.64
2012-04-09	-0.07	-0.06
2012-04-10	-1.65	-1.32
2012-04-11	0.35	0.28
2012-04-12	0.53	0.52
2012-04-13	-0.97	-0.80
2012-04-16	-0.42	-0.34
2012-04-17	0.93	0.89
2012-04-18	-0.24	-0.16
2012-04-19	0.12	0.13
2012-04-20	-0.30	-0.23
2012-04-23	-1.88	-1.36
2012-04-24	-0.63	-0.47
2012-04-25	0.72	0.63
2012-04-26	0.39	0.38
2012-04-27	0.23	0.26
2012-04-30	0.38	0.33
2012-05-02	0.36	0.36
2012-05-03	-0.27	-0.18
2012-05-04	-0.89	-0.72
2012-05-07	2.45	2.20
2012-05-08	-3.43	-3.04
2012-05-09	-0.40	-0.39
2012-05-10	0.07	0.07
2012-05-11	-1.01	-1.05
2012-05-14	-1.82	-1.92
2012-05-15	-1.27	-1.44
2012-05-16	-1.24	-1.46
2012-05-17	-0.59	-0.83
2012-05-18	-0.99	-1.29
2012-05-21	2.43	2.10
2012-05-22	0.10	-0.13
2012-05-23	0.02	-0.20
2012-05-24	0.59	0.42
2012-05-25	-0.04	-0.23
2012-05-28	0.70	0.49
2012-05-29	1.71	1.62
2012-05-30	-0.08	-0.25
2012-05-31	-0.48	-0.73
2012-06-01	-1.99	-2.47
2012-06-04	-0.14	-0.42
2012-06-05	0.31	0.11
2012-06-06	0.73	0.64
2012-06-07	0.07	-0.10
2012-06-08	0.41	0.27
2012-06-11	-0.67	-1.02
2012-06-12	0.93	0.83
2012-06-13	-0.16	-0.44
2012-06-14	1.13	1.07
2012-06-15	1.07	1.05
2012-06-18	1.08	1.14
2012-06-19	2.09	2.19
2012-06-20	0.94	0.95
2012-06-21	-1.38	-1.57
2012-06-22	1.71	1.84
2012-06-25	0.23	0.25
2012-06-26	0.46	0.55
2012-06-27	0.32	0.45
2012-06-28	0.26	0.44
2012-06-29	1.57	1.81
2012-07-02	-0.66	-0.37
2012-07-03	0.82	1.01
2012-07-04	-0.61	-0.36
2012-07-05	-1.39	-1.12
2012-07-06	-0.96	-0.77
2012-07-09	0.17	0.36
2012-07-10	0.03	0.21
2012-07-11	0.36	0.49
2012-07-12	-0.08	0.07
2012-07-13	0.51	0.69
2012-07-16	1.18	1.29
2012-07-17	0.91	1.10
2012-07-18	-2.56	-1.92
2012-07-19	-0.39	-0.09
2012-07-20	-0.21	0.07
2012-07-23	0.08	0.34
2012-07-24	-1.38	-0.95
2012-07-25	-1.33	-0.98
2012-07-26	1.50	1.72
2012-07-27	1.28	1.54
2012-07-30	-0.88	-0.59
2012-07-31	-2.42	-2.16
2012-08-01	0.11	0.24
2012-08-02	-0.34	-0.24
2012-08-03	0.55	0.71
2012-08-06	0.12	0.24
2012-08-07	-0.32	-0.16
2012-08-08	-0.96	-0.78
2012-08-09	-0.75	-0.61
2012-08-10	0.47	0.54
2012-08-13	-1.82	-1.61
2012-08-14	0.92	0.88
2012-08-15	0.48	0.44
2012-08-16	-0.32	-0.32
2012-08-17	-0.67	-0.61
2012-08-20	-0.78	-0.69
2012-08-21	-0.93	-0.88
2012-08-22	-0.25	-0.27
2012-08-23	-0.49	-0.51
2012-08-24	1.19	1.07
2012-08-27	-0.78	-0.81
2012-08-28	0.03	-0.09
2012-08-29	0.01	-0.17
2012-08-30	0.02	-0.12
2012-08-31	-1.68	-1.56
2012-09-03	1.58	1.24
2012-09-04	-0.77	-0.84
2012-09-05	0.22	0.08
2012-09-06	1.60	1.34
2012-09-07	0.34	0.17
2012-09-10	-0.02	-0.19
2012-09-11	0.21	0.03
2012-09-12	1.22	0.83
2012-09-13	1.87	1.35
2012-09-14	0.18	0.08
2012-09-17	-0.26	-0.31
2012-09-18	-0.06	-0.19
2012-09-19	1.56	1.13
2012-09-20	-1.84	-1.70
2012-09-21	-0.62	-0.69
2012-09-24	0.95	0.65
2012-09-25	-1.47	-1.38
2012-09-26	0.55	0.31
2012-09-27	1.71	1.31
2012-09-28	0.54	0.36
2012-10-01	0.98	0.78
2012-10-02	0.19	0.13
2012-10-03	-0.94	-0.83
2012-10-04	1.54	1.38
2012-10-05	1.79	1.69
2012-10-08	-0.88	-0.84
2012-10-09	-0.23	-0.20
2012-10-10	-1.31	-1.23
2012-10-11	0.83	0.83
2012-10-12	-0.52	-0.47
2012-10-15	1.05	1.07
2012-10-16	1.72	1.65
2012-10-17	-0.22	-0.06
2012-10-18	-0.26	-0.10
2012-10-19	-1.16	-0.95
2012-10-22	-1.33	-1.14
2012-10-23	-0.58	-0.45
2012-10-24	-0.05	0.06
2012-10-25	-1.06	-0.93
2012-10-26	-0.31	-0.29
2012-10-29	-0.22	-0.19
2012-10-30	-1.00	-0.95
2012-10-31	-0.05	-0.02
2012-11-01	0.47	0.45
