post_date	IBVC_z30	IBVC_z90	MEXBOL_z30	MEXBOL_z90
2011-06-30	-0.28	-0.24	-0.25	-0.04
2011-07-01	0.02	-0.10	0.82	0.90
2011-07-06	-0.25	-0.23	-0.86	-0.64
2011-07-07	2.29	1.08	0.33	0.45
2011-07-08	-0.45	-0.34	-0.45	-0.29
2011-07-11	1.05	0.40	-0.65	-0.51
2011-07-12	0.11	-0.11	-0.82	-0.65
2011-07-13	-0.18	-0.26	0.26	0.32
2011-07-14	6.29	2.88	-0.50	-0.31
2011-07-15	4.26	2.91	-0.14	-0.01
2011-07-18	-0.35	-0.30	-1.79	-1.39
2011-07-19	1.45	1.19	-0.30	-0.08
2011-07-20	-0.31	-0.27	-1.98	-1.57
2011-07-21	-0.34	-0.29	0.85	0.85
2011-07-22	-0.18	-0.16	0.82	0.79
2011-07-25	-0.36	-0.30	-1.34	-1.04
2011-07-26	1.44	1.25	-0.66	-0.52
2011-07-27	0.54	0.52	1.19	0.99
2011-07-28	0.05	0.12	1.40	1.21
2011-07-29	0.06	0.10	0.25	0.31
2011-08-01	-0.47	-0.33	-1.34	-1.05
2011-08-02	3.31	3.00	-4.04	-3.61
2011-08-03	0.63	0.78	-1.10	-1.15
2011-08-04	-0.12	0.08	-3.90	-4.22
2011-08-05	-0.63	-0.41	1.24	1.40
2011-08-08	-0.58	-0.35	-5.28	-6.60
2011-08-09	-0.31	-0.05	1.58	2.04
2011-08-10	0.91	1.14	-0.07	-0.28
2011-08-11	2.54	2.69	3.05	3.96
2011-08-12	3.49	3.81	-0.23	-0.46
2011-08-16	-0.65	-0.31	0.25	0.22
2011-08-17	-2.35	-2.15	0.33	0.35
2011-08-18	-0.22	0.09	-1.25	-1.93
2011-08-19	-0.25	0.07	0.00	-0.16
2011-08-22	-0.50	-0.25	0.96	1.25
2011-08-23	-1.09	-0.93	1.95	2.76
2011-08-24	0.50	0.90	0.03	-0.01
2011-08-25	-0.73	-0.53	-1.08	-1.73
2011-08-26	-0.25	0.03	0.33	0.39
2011-08-29	-0.53	-0.35	1.61	2.38
2011-08-30	-0.62	-0.50	0.23	0.35
2011-08-31	-0.36	-0.22	0.88	1.36
2011-09-01	-0.50	-0.40	-0.14	-0.16
2011-09-02	-0.37	-0.27	-0.75	-1.12
2011-09-05	-1.01	-0.94	-1.80	-2.79
2011-09-06	-0.47	-0.39	0.85	1.28
2011-09-07	-0.34	-0.24	1.06	1.65
2011-09-08	-0.44	-0.38	-0.61	-1.00
2011-09-09	-0.51	-0.47	-1.16	-1.92
2011-09-12	-0.40	-0.36	0.07	-0.01
2011-09-13	-0.34	-0.39	0.29	0.37
2011-09-14	0.81	1.13	1.01	1.55
2011-09-15	-0.43	-0.51	0.69	1.10
2011-09-19	-0.30	-0.42	-0.23	-0.22
2011-09-20	-0.12	-0.17	-1.09	-1.53
2011-09-21	-0.18	-0.24	-0.65	-0.64
2011-09-22	-0.31	-0.39	-2.72	-3.34
2011-09-23	-0.36	-0.50	0.29	0.47
2011-09-26	-2.10	-2.46	1.28	1.61
2011-09-27	0.63	0.09	0.60	0.80
2011-09-28	0.00	-0.36	-0.52	-0.63
2011-09-29	-0.08	-0.34	0.40	0.51
2011-09-30	-0.08	-0.35	-0.26	-0.31
2011-10-03	-0.05	-0.35	-0.58	-0.66
2011-10-04	0.03	-0.30	-0.26	-0.26
2011-10-05	0.05	-0.25	0.09	0.12
2011-10-06	-0.00	-0.33	0.55	0.59
2011-10-07	0.81	0.10	-0.37	-0.48
2011-10-10	0.04	-0.31	0.95	1.08
2011-10-11	-0.00	-0.33	0.25	0.29
2011-10-13	-0.01	-0.32	0.23	0.22
2011-10-14	0.35	-0.14	0.51	0.50
2011-10-17	5.88	2.73	-1.17	-1.35
2011-10-18	0.59	0.19	1.53	1.67
2011-10-19	1.84	1.11	-0.91	-0.90
2011-10-20	0.61	0.28	-0.23	-0.22
2011-10-21	-1.39	-1.23	1.16	1.17
2011-10-24	-0.28	-0.42	0.41	0.45
2011-10-25	-2.31	-2.00	-0.04	0.04
2011-10-26	7.19	5.80	0.89	0.96
2011-10-27	-0.23	-0.34	1.55	1.64
2011-10-28	-0.53	-0.72	-0.16	-0.06
2011-11-03	-0.25	-0.36	1.44	1.48
2011-11-04	-0.10	-0.17	0.04	0.19
2011-11-07	-0.25	-0.37	0.42	0.59
2011-11-08	1.74	2.03	0.39	0.57
2011-11-09	0.16	0.19	-2.10	-1.42
2011-11-10	0.29	0.36	-0.07	0.11
2011-11-11	0.70	0.90	1.80	1.64
2011-11-14	-0.97	-1.07	-1.26	-0.86
2011-11-15	0.18	0.29	0.21	0.37
2011-11-16	1.30	1.64	-1.48	-1.02
2011-11-17	-0.28	-0.20	-1.43	-1.02
2011-11-18	0.29	0.50	0.13	0.30
2011-11-22	-0.67	-0.62	-0.80	-0.53
2011-11-23	-0.55	-0.49	-1.33	-1.00
2011-11-24	-0.52	-0.44	-0.21	-0.07
2011-11-25	-0.52	-0.43	-1.52	-1.26
2011-11-28	-2.66	-3.14	1.85	1.67
2011-11-29	-0.07	0.07	0.21	0.24
2011-11-30	0.16	0.38	1.95	1.85
2011-12-01	0.19	0.35	-0.61	-0.44
2011-12-02	-0.36	-0.35	0.24	0.29
2011-12-05	-1.37	-1.69	0.50	0.54
2011-12-06	0.36	0.52	-0.22	-0.08
2011-12-07	0.16	0.30	-0.16	-0.05
2011-12-08	0.34	0.55	-0.88	-0.69
2011-12-09	0.40	0.67	0.99	0.93
2011-12-13	-0.35	-0.30	-1.46	-1.28
2011-12-14	0.31	0.37	-0.83	-0.78
2011-12-15	-0.21	-0.11	0.03	-0.06
2011-12-16	-0.53	-0.44	0.10	0.04
2011-12-19	-0.37	-0.31	-0.89	-0.91
2011-12-20	-0.37	-0.31	1.32	1.09
2011-12-21	-0.15	-0.10	0.76	0.61
2011-12-22	-0.32	-0.29	0.85	0.73
2011-12-23	0.85	0.71	-0.03	-0.12
2011-12-26	-0.30	-0.26	0.31	0.26
2011-12-27	-1.93	-1.77	-0.28	-0.30
2011-12-28	-0.22	-0.27	-0.89	-0.87
2011-12-29	-0.46	-0.51	1.15	0.92
2011-12-30	0.36	0.15	-0.21	-0.28
2012-01-02	-1.44	-1.39	0.51	0.40
2012-01-03	-0.03	-0.25	0.02	0.04
2012-01-04	-0.02	-0.23	-0.07	-0.05
2012-01-05	-0.03	-0.23	-0.90	-0.77
2012-01-06	-0.03	-0.23	-0.59	-0.47
2012-01-10	0.84	0.53	0.77	0.74
2012-01-11	0.42	0.19	0.16	0.19
2012-01-12	0.88	0.52	-0.10	-0.01
2012-01-13	-0.18	-0.19	-2.28	-1.54
2012-01-16	-0.70	-0.55	0.99	0.67
2012-01-17	-1.01	-0.80	-0.85	-0.68
2012-01-18	1.05	0.56	2.46	1.78
2012-01-19	6.57	3.90	0.39	0.28
2012-01-20	-0.30	-0.28	-0.77	-0.68
2012-01-23	-0.28	-0.28	-0.52	-0.46
2012-01-24	1.38	1.12	-0.86	-0.76
2012-01-25	-0.26	-0.29	0.92	0.68
2012-01-26	-0.02	-0.07	-0.03	0.01
2012-01-27	-0.22	-0.27	-0.26	-0.16
2012-01-30	1.48	1.20	0.05	0.05
2012-01-31	-0.28	-0.30	0.35	0.30
2012-02-01	-0.28	-0.30	0.73	0.51
2012-02-02	-0.28	-0.30	-0.10	-0.12
2012-02-03	-0.28	-0.30	1.09	0.75
2012-02-07	0.63	0.47	-0.20	-0.18
2012-02-08	-0.28	-0.33	0.15	0.06
2012-02-09	6.53	5.50	0.20	0.12
2012-02-10	2.92	3.41	-0.46	-0.33
2012-02-13	1.48	1.95	0.07	-0.00
2012-02-14	-0.18	-0.01	-1.34	-0.98
2012-02-15	-0.52	-0.38	0.05	-0.05
2012-02-16	-0.52	-0.38	1.06	0.68
2012-02-17	-0.52	-0.38	-1.02	-0.81
2012-02-22	-0.37	-0.20	0.05	0.04
2012-02-23	-0.16	0.06	0.28	0.18
2012-02-24	4.22	5.28	-0.33	-0.27
2012-02-27	-0.29	-0.08	-0.56	-0.47
2012-02-28	1.80	2.67	0.67	0.49
2012-02-29	0.78	1.42	-0.85	-0.59
2012-03-01	-0.28	0.06	0.63	0.43
2012-03-02	2.62	3.89	1.19	0.63
2012-03-05	0.05	0.56	-0.82	-0.50
2012-03-06	-0.40	-0.09	-2.99	-1.70
2012-03-07	0.42	0.99	0.20	0.10
2012-03-08	0.90	1.65	0.96	0.64
2012-03-09	-0.55	-0.21	-0.58	-0.34
2012-03-12	-0.81	-0.56	-0.46	-0.29
2012-03-13	0.49	1.20	1.66	1.03
2012-03-14	-0.38	0.06	-0.28	-0.16
2012-03-15	2.74	4.29	0.55	0.38
2012-03-16	-0.80	-0.48	0.43	0.29
2012-03-20	1.63	2.86	-0.86	-0.55
2012-03-21	1.44	2.64	1.51	0.96
2012-03-22	1.09	2.19	-0.47	-0.34
2012-03-23	0.70	1.69	0.02	0.01
2012-03-26	0.13	0.97	2.01	1.41
2012-03-27	1.78	3.08	0.25	0.21
2012-03-28	-0.20	0.51	-0.25	-0.19
2012-03-29	-0.11	0.60	0.67	0.52
2012-03-30	-1.03	-0.56	1.31	1.02
2012-04-02	-0.73	-0.20	1.26	0.98
2012-04-03	-1.04	-0.55	-0.18	-0.10
2012-04-04	-1.04	-0.56	-2.19	-1.64
2012-04-09	-1.15	-0.70	-0.07	-0.06
2012-04-10	1.10	2.06	-1.65	-1.32
2012-04-11	-1.08	-0.57	0.35	0.28
2012-04-12	0.42	1.12	0.53	0.52
2012-04-13	-0.75	-0.23	-0.97	-0.80
2012-04-16	-0.98	-0.56	-0.42	-0.34
2012-04-17	4.40	5.77	0.93	0.89
2012-04-18	2.32	3.58	-0.24	-0.16
2012-04-20	1.00	1.85	-0.30	-0.23
2012-04-23	1.47	2.47	-1.88	-1.36
2012-04-24	0.03	0.65	-0.63	-0.47
2012-04-25	4.56	6.45	0.72	0.63
2012-04-26	-0.92	-0.66	0.39	0.38
2012-04-27	-0.57	-0.18	0.23	0.26
2012-04-30	2.74	4.37	0.38	0.33
2012-05-02	-0.18	0.39	0.36	0.36
2012-05-03	-0.71	-0.33	-0.27	-0.18
2012-05-04	-0.85	-0.60	-0.89	-0.72
2012-05-07	-2.85	-3.37	2.45	2.20
2012-05-08	-1.52	-1.79	-3.43	-3.04
2012-05-09	0.25	0.73	-0.40	-0.39
2012-05-10	-3.41	-4.75	0.07	0.07
2012-05-11	0.64	1.21	-1.01	-1.05
2012-05-14	-2.45	-3.66	-1.82	-1.92
2012-05-15	-2.46	-3.87	-1.27	-1.44
2012-05-16	0.01	-0.01	-1.24	-1.46
2012-05-17	-0.18	-0.32	-0.59	-0.83
2012-05-18	0.27	0.42	-0.99	-1.29
2012-05-22	-0.05	-0.11	0.10	-0.13
2012-05-23	-0.19	-0.32	0.02	-0.20
2012-05-24	-0.44	-0.72	0.59	0.42
2012-05-25	0.03	0.04	-0.04	-0.23
2012-05-28	-0.59	-1.00	0.70	0.49
2012-05-29	-0.00	-0.06	1.71	1.62
2012-05-30	-0.15	-0.32	-0.08	-0.25
2012-05-31	-0.01	-0.10	-0.48	-0.73
2012-06-01	0.33	0.46	-1.99	-2.47
2012-06-04	-0.50	-0.93	-0.14	-0.42
2012-06-05	0.33	0.29	0.31	0.11
2012-06-06	-0.61	-1.16	0.73	0.64
2012-06-07	0.17	-0.06	0.07	-0.10
2012-06-08	0.03	-0.29	0.41	0.27
2012-06-12	0.23	-0.14	0.93	0.83
2012-06-13	0.20	-0.18	-0.16	-0.44
2012-06-14	0.49	0.18	1.13	1.07
2012-06-15	0.35	-0.14	1.07	1.05
2012-06-18	-0.04	-0.60	1.08	1.14
2012-06-19	0.96	0.51	2.09	2.19
2012-06-20	1.42	1.08	0.94	0.95
2012-06-21	-0.18	-0.66	-1.38	-1.57
2012-06-22	0.11	-0.30	1.71	1.84
2012-06-25	0.37	-0.04	0.23	0.25
2012-06-26	-0.25	-0.58	0.46	0.55
2012-06-27	0.12	-0.29	0.32	0.45
2012-06-28	-0.43	-0.62	0.26	0.44
2012-06-29	0.30	-0.05	1.57	1.81
2012-07-03	-2.74	-1.47	0.82	1.01
2012-07-04	0.53	0.07	-0.61	-0.36
2012-07-06	-0.14	-0.29	-0.96	-0.77
2012-07-09	0.62	0.09	0.17	0.36
2012-07-10	-0.15	-0.30	0.03	0.21
2012-07-11	-0.71	-0.56	0.36	0.49
2012-07-12	-0.23	-0.34	-0.08	0.07
2012-07-13	0.07	-0.15	0.51	0.69
2012-07-16	-0.17	-0.28	1.18	1.29
2012-07-17	-0.94	-0.65	0.91	1.10
2012-07-18	-1.08	-0.73	-2.56	-1.92
2012-07-19	-0.05	-0.25	-0.39	-0.09
2012-07-20	0.33	-0.04	-0.21	0.07
2012-07-23	0.07	-0.17	0.08	0.34
2012-07-25	-1.39	-0.78	-1.33	-0.98
2012-07-26	-0.04	-0.21	1.50	1.72
2012-07-27	0.24	-0.08	1.28	1.54
2012-07-30	0.32	-0.04	-0.88	-0.59
2012-07-31	0.60	0.08	-2.42	-2.16
2012-08-01	0.05	-0.17	0.11	0.24
2012-08-02	-0.14	-0.26	-0.34	-0.24
2012-08-03	-0.07	-0.20	0.55	0.71
2012-08-06	0.73	0.10	0.12	0.24
2012-08-07	-0.11	-0.26	-0.32	-0.16
2012-08-08	0.24	-0.13	-0.96	-0.78
2012-08-09	0.08	-0.17	-0.75	-0.61
2012-08-10	6.18	1.78	0.47	0.54
2012-08-14	0.53	0.11	0.92	0.88
2012-08-15	-0.09	-0.16	0.48	0.44
2012-08-16	10.50	4.88	-0.32	-0.32
2012-08-17	-0.49	-0.44	-0.67	-0.61
2012-08-20	2.95	2.64	-0.78	-0.69
2012-08-21	-0.10	-0.01	-0.93	-0.88
2012-08-22	-0.23	-0.14	-0.25	-0.27
2012-08-23	-0.24	-0.16	-0.49	-0.51
2012-08-24	0.43	0.49	1.19	1.07
2012-08-27	-1.14	-0.99	-0.78	-0.81
2012-08-28	1.90	1.96	0.03	-0.09
2012-08-29	-2.09	-1.98	0.01	-0.17
2012-08-30	-1.32	-1.30	0.02	-0.12
2012-08-31	-0.24	-0.17	-1.68	-1.56
2012-09-03	-0.25	-0.14	1.58	1.24
2012-09-04	-0.25	-0.13	-0.77	-0.84
2012-09-05	-0.25	-0.12	0.22	0.08
2012-09-06	-0.25	-0.11	1.60	1.34
2012-09-07	0.08	0.28	0.34	0.17
2012-09-10	0.50	0.84	-0.02	-0.19
2012-09-11	0.30	0.62	0.21	0.03
2012-09-12	-0.38	-0.18	1.22	0.83
2012-09-13	-0.30	-0.06	1.87	1.35
2012-09-14	-0.53	-0.34	0.18	0.08
2012-09-17	-0.30	-0.07	-0.26	-0.31
2012-09-18	0.30	0.69	-0.06	-0.19
2012-09-19	0.11	0.45	1.56	1.13
2012-09-20	0.03	0.34	-1.84	-1.70
2012-09-21	0.07	0.42	-0.62	-0.69
2012-09-24	-0.56	-0.43	0.95	0.65
2012-09-25	-0.28	-0.10	-1.47	-1.38
2012-09-26	-0.29	-0.16	0.55	0.31
2012-09-27	0.03	0.27	1.71	1.31
2012-09-28	0.26	0.33	0.54	0.36
2012-10-01	1.91	2.22	0.98	0.78
2012-10-02	6.52	6.41	0.19	0.13
2012-10-03	4.14	5.35	-0.94	-0.83
2012-10-04	0.80	1.31	1.54	1.38
2012-10-05	3.86	5.57	1.79	1.69
2012-10-08	-6.33	-8.93	-0.88	-0.84
2012-10-09	-1.19	-1.83	-0.23	-0.20
2012-10-10	0.80	1.31	-1.31	-1.23
2012-10-11	0.63	1.09	0.83	0.83
2012-10-15	-0.05	0.05	1.05	1.07
2012-10-16	0.30	0.61	1.72	1.65
2012-10-17	0.18	0.44	-0.22	-0.06
2012-10-18	-0.21	-0.17	-0.26	-0.10
2012-10-19	-0.22	-0.18	-1.16	-0.95
2012-10-22	-0.22	-0.18	-1.33	-1.14
2012-10-23	-0.31	-0.33	-0.58	-0.45
2012-10-24	-0.71	-0.99	-0.05	0.06
2012-10-25	-0.66	-0.94	-1.06	-0.93
2012-10-26	-0.17	-0.17	-0.31	-0.29
2012-10-29	-0.16	-0.16	-0.22	-0.19
2012-10-30	-0.16	-0.15	-1.00	-0.95
2012-10-31	-0.14	-0.12	-0.05	-0.02
2012-11-01	-0.20	-0.23	0.47	0.45
