post_date	z30	z90
2011-11-30	0.16	0.38
2011-12-01	0.19	0.35
2011-12-02	-0.36	-0.35
2011-12-05	-1.37	-1.69
2011-12-06	0.36	0.52
2011-12-07	0.16	0.30
2011-12-08	0.34	0.55
2011-12-09	0.40	0.67
2011-12-13	-0.35	-0.30
2011-12-14	0.31	0.37
2011-12-15	-0.21	-0.11
2011-12-16	-0.53	-0.44
2011-12-19	-0.37	-0.31
2011-12-20	-0.37	-0.31
2011-12-21	-0.15	-0.10
2011-12-22	-0.32	-0.29
2011-12-23	0.85	0.71
2011-12-26	-0.30	-0.26
2011-12-27	-1.93	-1.77
2011-12-28	-0.22	-0.27
2011-12-29	-0.46	-0.51
2011-12-30	0.36	0.15
2012-01-02	-1.44	-1.39
2012-01-03	-0.03	-0.25
2012-01-04	-0.02	-0.23
2012-01-05	-0.03	-0.23
2012-01-06	-0.03	-0.23
2012-01-10	0.84	0.53
2012-01-11	0.42	0.19
2012-01-12	0.88	0.52
2012-01-13	-0.18	-0.19
2012-01-16	-0.70	-0.55
2012-01-17	-1.01	-0.80
2012-01-18	1.05	0.56
2012-01-19	6.57	3.90
2012-01-20	-0.30	-0.28
2012-01-23	-0.28	-0.28
2012-01-24	1.38	1.12
2012-01-25	-0.26	-0.29
2012-01-26	-0.02	-0.07
2012-01-27	-0.22	-0.27
2012-01-30	1.48	1.20
2012-01-31	-0.28	-0.30
2012-02-01	-0.28	-0.30
2012-02-02	-0.28	-0.30
2012-02-03	-0.28	-0.30
2012-02-06	0.11	0.05
2012-02-07	0.63	0.47
2012-02-08	-0.28	-0.33
2012-02-09	6.53	5.50
2012-02-10	2.92	3.41
2012-02-13	1.48	1.95
2012-02-14	-0.18	-0.01
2012-02-15	-0.52	-0.38
2012-02-16	-0.52	-0.38
2012-02-17	-0.52	-0.38
2012-02-22	-0.37	-0.20
2012-02-23	-0.16	0.06
2012-02-24	4.22	5.28
2012-02-27	-0.29	-0.08
2012-02-28	1.80	2.67
2012-02-29	0.78	1.42
2012-03-01	-0.28	0.06
2012-03-02	2.62	3.89
2012-03-05	0.05	0.56
2012-03-06	-0.40	-0.09
2012-03-07	0.42	0.99
2012-03-08	0.90	1.65
2012-03-09	-0.55	-0.21
2012-03-12	-0.81	-0.56
2012-03-13	0.49	1.20
2012-03-14	-0.38	0.06
2012-03-15	2.74	4.29
2012-03-16	-0.80	-0.48
2012-03-20	1.63	2.86
2012-03-21	1.44	2.64
2012-03-22	1.09	2.19
2012-03-23	0.70	1.69
2012-03-26	0.13	0.97
2012-03-27	1.78	3.08
2012-03-28	-0.20	0.51
2012-03-29	-0.11	0.60
2012-03-30	-1.03	-0.56
2012-04-02	-0.73	-0.20
2012-04-03	-1.04	-0.55
2012-04-04	-1.04	-0.56
2012-04-09	-1.15	-0.70
2012-04-10	1.10	2.06
2012-04-11	-1.08	-0.57
2012-04-12	0.42	1.12
2012-04-13	-0.75	-0.23
2012-04-16	-0.98	-0.56
2012-04-17	4.40	5.77
2012-04-18	2.32	3.58
2012-04-20	1.00	1.85
2012-04-23	1.47	2.47
2012-04-24	0.03	0.65
2012-04-25	4.56	6.45
2012-04-26	-0.92	-0.66
2012-04-27	-0.57	-0.18
2012-04-30	2.74	4.37
2012-05-02	-0.18	0.39
2012-05-03	-0.71	-0.33
2012-05-04	-0.85	-0.60
2012-05-07	-2.85	-3.37
2012-05-08	-1.52	-1.79
2012-05-09	0.25	0.73
2012-05-10	-3.41	-4.75
2012-05-11	0.64	1.21
2012-05-14	-2.45	-3.66
2012-05-15	-2.46	-3.87
2012-05-16	0.01	-0.01
2012-05-17	-0.18	-0.32
2012-05-18	0.27	0.42
2012-05-22	-0.05	-0.11
2012-05-23	-0.19	-0.32
2012-05-24	-0.44	-0.72
2012-05-25	0.03	0.04
2012-05-28	-0.59	-1.00
2012-05-29	-0.00	-0.06
2012-05-30	-0.15	-0.32
2012-05-31	-0.01	-0.10
2012-06-01	0.33	0.46
2012-06-04	-0.50	-0.93
2012-06-05	0.33	0.29
2012-06-06	-0.61	-1.16
2012-06-07	0.17	-0.06
2012-06-08	0.03	-0.29
2012-06-12	0.23	-0.14
2012-06-13	0.20	-0.18
2012-06-14	0.49	0.18
2012-06-15	0.35	-0.14
2012-06-18	-0.04	-0.60
2012-06-19	0.96	0.51
2012-06-20	1.42	1.08
2012-06-21	-0.18	-0.66
2012-06-22	0.11	-0.30
2012-06-25	0.37	-0.04
2012-06-26	-0.25	-0.58
2012-06-27	0.12	-0.29
2012-06-28	-0.43	-0.62
2012-06-29	0.30	-0.05
2012-07-03	-2.74	-1.47
2012-07-04	0.53	0.07
2012-07-06	-0.14	-0.29
2012-07-09	0.62	0.09
2012-07-10	-0.15	-0.30
2012-07-11	-0.71	-0.56
2012-07-12	-0.23	-0.34
2012-07-13	0.07	-0.15
2012-07-16	-0.17	-0.28
2012-07-17	-0.94	-0.65
2012-07-18	-1.08	-0.73
2012-07-19	-0.05	-0.25
2012-07-20	0.33	-0.04
2012-07-23	0.07	-0.17
2012-07-25	-1.39	-0.78
2012-07-26	-0.04	-0.21
2012-07-27	0.24	-0.08
2012-07-30	0.32	-0.04
2012-07-31	0.60	0.08
2012-08-01	0.05	-0.17
2012-08-02	-0.14	-0.26
2012-08-03	-0.07	-0.20
2012-08-06	0.73	0.10
2012-08-07	-0.11	-0.26
2012-08-08	0.24	-0.13
2012-08-09	0.08	-0.17
2012-08-10	6.18	1.78
2012-08-14	0.53	0.11
2012-08-15	-0.09	-0.16
2012-08-16	10.50	4.88
2012-08-17	-0.49	-0.44
2012-08-20	2.95	2.64
2012-08-21	-0.10	-0.01
2012-08-22	-0.23	-0.14
2012-08-23	-0.24	-0.16
2012-08-24	0.43	0.49
2012-08-27	-1.14	-0.99
2012-08-28	1.90	1.96
2012-08-29	-2.09	-1.98
2012-08-30	-1.32	-1.30
2012-08-31	-0.24	-0.17
2012-09-03	-0.25	-0.14
2012-09-04	-0.25	-0.13
2012-09-05	-0.25	-0.12
2012-09-06	-0.25	-0.11
2012-09-07	0.08	0.28
2012-09-10	0.50	0.84
2012-09-11	0.30	0.62
2012-09-12	-0.38	-0.18
2012-09-13	-0.30	-0.06
2012-09-14	-0.53	-0.34
2012-09-17	-0.30	-0.07
2012-09-18	0.30	0.69
2012-09-19	0.11	0.45
2012-09-20	0.03	0.34
2012-09-21	0.07	0.42
2012-09-24	-0.56	-0.43
2012-09-25	-0.28	-0.10
2012-09-26	-0.29	-0.16
2012-09-27	0.03	0.27
2012-09-28	0.26	0.33
2012-10-01	1.91	2.22
2012-10-02	6.52	6.41
2012-10-03	4.14	5.35
2012-10-04	0.80	1.31
2012-10-05	3.86	5.57
2012-10-08	-6.33	-8.93
2012-10-09	-1.19	-1.83
2012-10-10	0.80	1.31
2012-10-11	0.63	1.09
2012-10-15	-0.05	0.05
2012-10-16	0.30	0.61
2012-10-17	0.18	0.44
2012-10-18	-0.21	-0.17
2012-10-19	-0.22	-0.18
2012-10-22	-0.22	-0.18
2012-10-23	-0.31	-0.33
2012-10-24	-0.71	-0.99
2012-10-25	-0.66	-0.94
2012-10-26	-0.17	-0.17
2012-10-29	-0.16	-0.16
2012-10-30	-0.16	-0.15
2012-10-31	-0.14	-0.12
2012-11-01	-0.20	-0.23
